source_resource_id,source_resource_name,target_resource_id,target_resource_name,mapping_status,notes
arn:aws:s3:::api-server-ebs-zip,api-server-ebs-zip,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::aws-sam-cli-managed-default-samclisourcebucket-fuyvvkiy1jpp,aws-sam-cli-managed-default-samclisourcebucket-fuyvvkiy1jpp,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::chrome-layer-deployment-1757932349,chrome-layer-deployment-1757932349,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::content.studio,content.studio,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::domain-transfer-storage,domain-transfer-storage,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::elasticbeanstalk-us-east-1-418295703256,elasticbeanstalk-us-east-1-418295703256,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::elasticbeanstalk-us-east-2-418295703256,elasticbeanstalk-us-east-2-418295703256,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::elb-access-logs-zoca,elb-access-logs-zoca,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mixpanel-website-data,mixpanel-website-data,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mixpanel-website-data-migrated,mixpanel-website-data-migrated,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mononest-rest-terraform-state-prod,mononest-rest-terraform-state-prod,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mononest-rest-terraform-state-staging,mononest-rest-terraform-state-staging,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mononest-terraform-state-prod,mononest-terraform-state-prod,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mononest-terraform-state-staging,mononest-terraform-state-staging,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mononet-rest-terraform-state-prod,mononet-rest-terraform-state-prod,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::mononet-rest-terraform-state-staging,mononet-rest-terraform-state-staging,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::prod-ec2-dump,prod-ec2-dump,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::rank-automation-bucket,rank-automation-bucket,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::signed-bucket-zoca-test,signed-bucket-zoca-test,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::signed-bucket-zoca-test-dev,signed-bucket-zoca-test-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::sp-website-backup,sp-website-backup,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::sp-website-development,sp-website-development,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::sp-website-images,sp-website-images,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::sp-website-production,sp-website-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::staging-alb-logs-418295703256,staging-alb-logs-418295703256,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::tagger-main,tagger-main,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::test-media-bank,test-media-bank,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::test-media-bank-1,test-media-bank-1,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::website-store-production,website-store-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::website-store-staging,website-store-staging,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-adhocs-lambdas-dev,zoca-adhocs-lambdas-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-app,zoca-app,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-app-misc,zoca-app-misc,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-app-misc-dev,zoca-app-misc-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-assets,zoca-assets,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-cdn-logs,zoca-cdn-logs,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-client-data,zoca-client-data,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-client-data-dev,zoca-client-data-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-client-files,zoca-client-files,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-client-files-dev,zoca-client-files-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-client-upload,zoca-client-upload,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-client-upload-dev,zoca-client-upload-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-custom-scripts,zoca-custom-scripts,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-file-uploads,zoca-file-uploads,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-file-uploads-dev,zoca-file-uploads-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-frontend-v3,zoca-frontend-v3,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-infra-terraform-state-bucket-production,zoca-infra-terraform-state-bucket-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-lead-magnet-public,zoca-lead-magnet-public,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-media-bank,zoca-media-bank,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-media-bank-dev,zoca-media-bank-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-mononest-sam-bucket,zoca-mononest-sam-bucket,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-mononest-sam-bucket-dev,zoca-mononest-sam-bucket-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-production,zoca-production,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-public-bucket,zoca-public-bucket,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-public-bucket-dev,zoca-public-bucket-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-redirect,zoca-redirect,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-s3-logs,zoca-s3-logs,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-sales-lead,zoca-sales-lead,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-staging,zoca-staging,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-stock-media-bank,zoca-stock-media-bank,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-stock-media-bank-dev,zoca-stock-media-bank-dev,"","",pending,Manual mapping required - review naming patterns
arn:aws:s3:::zoca-tech,zoca-tech,"","",pending,Manual mapping required - review naming patterns
